202008201359072149	CZCE	KQ.i@CZCE.CY	CZCE.CY101	19810	SELL	1	2020-08-20	2020-08-20 13:58:45	PMM-S.1.1-D0H0	19382.5	2020-09-07 21:00:04	\N	\N	0000-00-00 00:00:00	1	19380	2020-09-09	2020-09-08 21:29:33	1024588.53	4980	0	0
202008201402091480	DCE	KQ.i@DCE.eg	DCE.eg2101	3900	BUY	1	2020-08-20	2020-08-20 14:01:47	PMM-B.1.1-D1H1	4020	2020-08-20 14:01:50	1	3920	2020-08-28 22:49:20	1	4019	2020-08-31	2020-08-31 09:31:08	1022192.53	7347	-25	0
202008201440289069	CZCE	KQ.i@CZCE.SR	CZCE.SR101	5061	SELL	1	2020-08-20	2020-08-20 14:40:07	PMM-S.1.1-D0H0	4981	2020-11-02 09:29:13	\N	\N	0000-00-00 00:00:00	\N	\N	\N	0000-00-00 00:00:00	1019705.53	9876	20	0
202008201447507343	DCE	KQ.i@DCE.jm	DCE.jm2101	1201	BUY	1	2020-08-20	2020-08-20 14:47:29	PMM-B.1.1-D1H1	1231	2020-08-20 14:47:30	1	1206	2020-08-21 10:02:33	1	1220	2020-08-26	2020-08-26 09:00:00	1014099.88	15542.4	85	-0.01
202008202101531631	DCE	KQ.i@DCE.m	DCE.m2101	2895	BUY	1	2020-08-21	2020-08-20 21:01:48	PMM-B.1.1-D0H1	2975	2020-08-20 21:01:50	1	2905	2020-08-28 09:08:23	1	2977	2020-08-31	2020-08-31 09:00:15	1013039.88	16995.9	480	-0.05
202008202143024210	CZCE	KQ.i@CZCE.SR	CZCE.SR101	5029	SELL	1	2020-08-21	2020-08-20 21:43:01	ATM-S.1.1-D0H0	5078.5	2020-09-16 09:35:10	\N	\N	0000-00-00 00:00:00	\N	\N	\N	0000-00-00 00:00:00	1010558.88	19528.9	535	-0.05
202008202200029277	SHFE	KQ.i@SHFE.sp	SHFE.sp2012	4540	SELL	1	2020-08-21	2020-08-20 21:59:56	PMM-S.1.1-D1H0	4732	2020-09-01 21:02:05	\N	\N	0000-00-00 00:00:00	1	4732	2020-09-09	2020-09-08 21:31:11	1007844.41	22711.1	1005	-0.1
202008202200153963	SHFE	KQ.i@SHFE.bu	SHFE.bu2012	2674	BUY	1	2020-08-21	2020-08-20 22:00:09	PMM-B.1.1-D1H1	2734	2020-08-20 22:00:10	1	2679	2020-08-21 09:13:03	1	2732	2020-08-21	2020-08-21 09:26:43	1005444.15	25108.7	1005	-0.1
202008210913248711	SHFE	KQ.i@SHFE.rb	SHFE.rb2101	3752	BUY	1	2020-08-21	2020-08-21 09:13:20	PMM-B.1.1-D1H1	3809	2020-09-02 11:23:43	\N	\N	0000-00-00 00:00:00	1	3813	2020-09-03	2020-09-03 09:33:32	1003027.77	28126.3	1610	-0.16
202008210930074328	CFFEX	KQ.i@CFFEX.IF	CFFEX.IF2009	4697	BUY	1	2020-08-21	2020-08-21 09:30:02	PMM-B.1.1-D1H1	4777	2020-08-21 09:30:02	1	4712	2020-08-24 10:36:19	1	4731.8	2020-08-26	2020-08-26 09:29:00	865996.63	165222.7	1130	-0.11
202008210932016818	CFFEX	KQ.i@CFFEX.IC	CFFEX.IC2009	6553.4	BUY	1	2020-08-21	2020-08-21 09:31:57	PMM-B.1.1-D1H1	6653.4	2020-08-21 09:31:57	1	6568.4	2020-08-25 09:33:37	1	6527	2020-08-26	2020-08-26 09:29:00	708011.57	320977.9	-1070	0.1
202008211000156071	DCE	KQ.i@DCE.a	DCE.a2101	4487	BUY	1	2020-08-21	2020-08-21 10:00:09	PMM-B.1.1-D0H1	4495	2020-09-03 21:05:32	\N	\N	0000-00-00 00:00:00	1	4493	2020-09-04	2020-09-04 09:24:13	717880.07	323227.4	11050	-1.07
202008211100012545	CZCE	KQ.i@CZCE.OI	CZCE.OI101	8614	BUY	1	2020-08-21	2020-08-21 11:00:00	PMM-B.2.1-D1H1	8794	2020-08-21 11:00:01	1	8644	2020-08-31 21:24:55	1	8644	2020-09-01	2020-09-01 09:00:04	703275.57	327539.9	760	-0.07
202008211100129667	DCE	KQ.i@DCE.pp	DCE.pp2101	7564	BUY	1	2020-08-21	2020-08-21 11:00:12	PMM-B.1.1-D1H1	7744	2020-08-21 11:00:12	1	7594	2020-08-25 09:05:01	1	7743	2020-08-25	2020-08-25 09:30:11	702705.03	329453.15	2105	-0.2
202008241005087985	CZCE	KQ.i@CZCE.AP	CZCE.AP010	6985	SELL	1	2020-08-24	2020-08-24 10:05:05	PMM-S.1.1-D0H0	6485	2020-08-24 10:05:06	1	6925	2020-09-03 14:20:32	1	6968	2020-09-08	2020-09-08 09:08:33	699343	331355.85	400	-0.04
